epoch,loss,acc,val_loss,val_acc,network
37,0.0154,0.9960,0.0669,0.9853,pool_no_dropout
38,0.0161,0.9952,0.0527,0.9916,pool_no_dropout
39,0.0119,0.9965,0.0489,0.9909,pool_no_dropout
40,0.0213,0.9945,0.0570,0.9911,pool_no_dropout
41,0.0220,0.9946,0.0571,0.9912,pool_no_dropout
42,0.0147,0.9965,0.0524,0.9913,pool_no_dropout
43,0.0139,0.9964,0.0556,0.9912,pool_no_dropout
44,0.0168,0.9956,0.0543,0.9912,pool_no_dropout
45,0.0153,0.9959,0.0483,0.9920,pool_no_dropout
46,0.0147,0.9960,0.0459,0.9909,pool_no_dropout
47,0.0173,0.9954,0.0570,0.9892,pool_no_dropout
48,0.0091,0.9974,0.0544,0.9918,pool_no_dropout
49,0.0171,0.9952,0.0562,0.9912,pool_no_dropout
50,0.0172,0.9954,0.0545,0.9920,pool_no_dropout
51,0.0092,0.9973,0.0697,0.9881,pool_no_dropout
52,0.0152,0.9959,0.0608,0.9915,pool_no_dropout
53,0.0105,0.9973,0.0507,0.9922,pool_no_dropout
54,0.0177,0.9960,0.0730,0.9875,pool_no_dropout
55,0.0242,0.9942,0.0572,0.9901,pool_no_dropout
56,0.0110,0.9967,0.0549,0.9906,pool_no_dropout
57,0.0106,0.9972,0.0540,0.9916,pool_no_dropout
58,0.0144,0.9966,0.0574,0.9897,pool_no_dropout
59,0.0088,0.9979,0.0519,0.9918,pool_no_dropout
60,0.0190,0.9950,0.0597,0.9903,pool_no_dropout
61,0.0108,0.9975,0.0725,0.9864,pool_no_dropout
62,0.0132,0.9964,0.0623,0.9906,pool_no_dropout
63,0.0175,0.9964,0.0653,0.9901,pool_no_dropout
64,0.0097,0.9974,0.0574,0.9907,pool_no_dropout
65,0.0102,0.9971,0.0663,0.9889,pool_no_dropout
66,0.0131,0.9963,0.0553,0.9918,pool_no_dropout
67,0.0155,0.9960,0.0783,0.9871,pool_no_dropout
68,0.0215,0.9947,0.0530,0.9920,pool_no_dropout
69,0.0100,0.9973,0.0585,0.9909,pool_no_dropout
70,0.0134,0.9968,0.0576,0.9920,pool_no_dropout
71,0.0162,0.9963,0.0663,0.9917,pool_no_dropout
72,0.0130,0.9971,0.0689,0.9890,pool_no_dropout
73,0.0205,0.9952,0.0870,0.9870,pool_no_dropout
74,0.0123,0.9968,0.0565,0.9921,pool_no_dropout
75,0.0133,0.9970,0.0504,0.9922,pool_no_dropout
76,0.0077,0.9982,0.0595,0.9917,pool_no_dropout
77,0.0087,0.9979,0.0483,0.9927,pool_no_dropout
78,0.0086,0.9980,0.0602,0.9909,pool_no_dropout
79,0.0130,0.9972,0.0634,0.9895,pool_no_dropout
80,0.0166,0.9964,0.0659,0.9901,pool_no_dropout
81,0.0178,0.9960,0.0751,0.9893,pool_no_dropout
82,0.0121,0.9968,0.0664,0.9902,pool_no_dropout
83,0.0085,0.9981,0.0789,0.9889,pool_no_dropout
84,0.0109,0.9979,0.0764,0.9899,pool_no_dropout
85,0.0149,0.9965,0.0648,0.9895,pool_no_dropout
86,0.0142,0.9965,0.0776,0.9883,pool_no_dropout
87,0.0177,0.9958,0.0604,0.9901,pool_no_dropout
88,0.0109,0.9974,0.0708,0.9903,pool_no_dropout
89,0.0095,0.9979,0.0669,0.9902,pool_no_dropout
90,0.0146,0.9969,0.0683,0.9903,pool_no_dropout
91,0.0103,0.9979,0.0623,0.9908,pool_no_dropout
92,0.0081,0.9980,0.0610,0.9908,pool_no_dropout
93,0.0147,0.9971,0.0548,0.9912,pool_no_dropout
94,0.0148,0.9965,0.0569,0.9917,pool_no_dropout
95,0.0151,0.9963,0.0789,0.9871,pool_no_dropout
96,0.0098,0.9977,0.0621,0.9922,pool_no_dropout
97,0.0120,0.9974,0.0613,0.9911,pool_no_dropout
98,0.0073,0.9982,0.0526,0.9926,pool_no_dropout
99,0.0142,0.9968,0.0746,0.9890,pool_no_dropout
100,0.0133,0.9970,0.0651,0.9908,pool_no_dropout
1,1.4521,0.5913,0.3716,0.9055,pool_dropout
2,0.4295,0.8742,0.1843,0.9507,pool_dropout
3,0.2708,0.9198,0.1144,0.9740,pool_dropout
4,0.2002,0.9414,0.0907,0.9772,pool_dropout
5,0.1627,0.9507,0.0744,0.9809,pool_dropout
6,0.1334,0.9602,0.0612,0.9858,pool_dropout
7,0.1195,0.9625,0.0565,0.9855,pool_dropout
8,0.0989,0.9699,0.0516,0.9860,pool_dropout
9,0.0869,0.9722,0.0548,0.9848,pool_dropout
10,0.0802,0.9756,0.0625,0.9830,pool_dropout
11,0.0798,0.9765,0.0425,0.9890,pool_dropout
12,0.0700,0.9778,0.0404,0.9897,pool_dropout
13,0.0655,0.9805,0.0462,0.9881,pool_dropout
14,0.0598,0.9828,0.0378,0.9906,pool_dropout
15,0.0572,0.9828,0.0499,0.9871,pool_dropout
16,0.0505,0.9844,0.0365,0.9913,pool_dropout
17,0.0501,0.9844,0.0418,0.9885,pool_dropout
18,0.0488,0.9850,0.0338,0.9925,pool_dropout
19,0.0457,0.9864,0.0357,0.9915,pool_dropout
20,0.0502,0.9849,0.0315,0.9927,pool_dropout
21,0.0462,0.9858,0.0302,0.9936,pool_dropout
22,0.0372,0.9885,0.0377,0.9913,pool_dropout
23,0.0467,0.9864,0.0412,0.9911,pool_dropout
